claim_id,claim,claim_label,evidences.0.evidence_id,evidences.0.evidence_label,evidences.0.article,evidences.0.evidence,evidences.0.entropy,evidences.0.votes.0,evidences.0.votes.1,evidences.0.votes.2,evidences.0.votes.3,evidences.0.votes.4,evidences.1.evidence_id,evidences.1.evidence_label,evidences.1.article,evidences.1.evidence,evidences.1.entropy,evidences.1.votes.0,evidences.1.votes.1,evidences.1.votes.2,evidences.1.votes.3,evidences.1.votes.4,evidences.2.evidence_id,evidences.2.evidence_label,evidences.2.article,evidences.2.evidence,evidences.2.entropy,evidences.2.votes.0,evidences.2.votes.1,evidences.2.votes.2,evidences.2.votes.3,evidences.2.votes.4,evidences.3.evidence_id,evidences.3.evidence_label,evidences.3.article,evidences.3.evidence,evidences.3.entropy,evidences.3.votes.0,evidences.3.votes.1,evidences.3.votes.2,evidences.3.votes.3,evidences.3.votes.4,evidences.4.evidence_id,evidences.4.evidence_label,evidences.4.article,evidences.4.evidence,evidences.4.entropy,evidences.4.votes.0,evidences.4.votes.1,evidences.4.votes.2,evidences.4.votes.3,evidences.4.votes.4
28,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",1,Antarctica:375,NOT_ENOUGH_INFO,Antarctica,"The amount of surface warming in West Antarctica, while large, has not led to appreciable melting at the surface, and is not directly affecting the West Antarctic Ice Sheet's contribution to sea level.",0.693147181,,REFUTES,NOT_ENOUGH_INFO,,,Climate variability:93,NOT_ENOUGH_INFO,Climate variability,This created a warming that later melted the ice and brought Earth's temperature back to equilibrium.,0.693147181,,SUPPORTS,NOT_ENOUGH_INFO,,,Climate variability:98,NOT_ENOUGH_INFO,Climate variability,"Previous interglacials such as the Eemian phase created temperatures higher than today, higher sea levels, and some partial melting of the West Antarctic ice sheet.",0.693147181,,SUPPORTS,NOT_ENOUGH_INFO,,,Parinacota (volcano):246,SUPPORTS,Parinacota (volcano),The postulated period coincides with a global clustering of volcano collapse events; perhaps global warming occurring during this time when the last glacial maximum approached its end predisposed volcanoes to collapse.,0,,SUPPORTS,SUPPORTS,,,Snowball Earth:129,SUPPORTS,Snowball Earth,"Global warming associated with large accumulations of carbon dioxide in the atmosphere over millions of years, emitted primarily by volcanic activity, is the proposed trigger for melting a snowball Earth.",0,,SUPPORTS,SUPPORTS,,
31,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,0,Carbon tax:6,NOT_ENOUGH_INFO,Carbon tax,"CO 2 is a heat-trapping greenhouse gas which causes global warming, which damages the environment and human health.",0.693147181,REFUTES,NOT_ENOUGH_INFO,,,,Paleocene–Eocene Thermal Maximum:152,SUPPORTS,Paleocene–Eocene Thermal Maximum,Intrusions of hot magma into carbon-rich sediments may have triggered the degassing of isotopically light methane in sufficient volumes to cause global warming and the observed isotope anomaly.,0,SUPPORTS,SUPPORTS,,,,Permian–Triassic extinction event:1171,NOT_ENOUGH_INFO,Permian–Triassic extinction event,"""Global Warming Led To Atmospheric Hydrogen Sulfide And Permian Extinction"".",0.693147181,REFUTES,NOT_ENOUGH_INFO,,,,Permian–Triassic extinction event:177,SUPPORTS,Permian–Triassic extinction event,"The eruptions would also have emitted carbon dioxide, causing global warming.",0,SUPPORTS,SUPPORTS,,,,Permian–Triassic extinction event:182,SUPPORTS,Permian–Triassic extinction event,"The basalt lava erupted or intruded into carbonate rocks and into sediments that were in the process of forming large coal beds, both of which would have emitted large amounts of carbon dioxide, leading to stronger global warming after the dust and aerosols settled.",0,SUPPORTS,SUPPORTS,,,
33,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,1,Fossil fuel:15,NOT_ENOUGH_INFO,Fossil fuel,Carbon dioxide is a greenhouse gas that increases radiative forcing and contributes to global warming along with ocean acidification.,0.693147181,SUPPORTS,NOT_ENOUGH_INFO,,,,Petroleum:11,NOT_ENOUGH_INFO,Petroleum,The use of petroleum as fuel causes global warming and ocean acidification.,0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,,Wind power:295,REFUTES,Wind power,"Compared with other low carbon power sources, wind turbines have some of the lowest global warming potential per unit of electrical energy generated.",0,REFUTES,REFUTES,,,,Wind power:392,NOT_ENOUGH_INFO,Wind power,"Arrays of large turbines, known as wind farms, have become an increasingly important source of renewable energy and are used in many countries as part of a strategy to reduce their reliance on fossil fuels.",0.693147181,REFUTES,SUPPORTS,,,,Wind turbine:230,REFUTES,Wind turbine,"Over 1,500 tons of carbon dioxide per year can be eliminated by using a one-megawatt turbine instead of one megawatt of energy from a fossil fuel.",0,REFUTES,REFUTES,,,
35,"Ice berg melts, ocean level remains the same.",0,Antarctic ice sheet:170,REFUTES,Antarctic ice sheet,"""The melting of floating ice raises the ocean level"" (PDF).",0,REFUTES,REFUTES,,,,Sea level rise:128,NOT_ENOUGH_INFO,Sea level rise,There is a threshold in surface warming beyond which a partial or near-complete melting of the Greenland ice sheet occurs.,0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,,Sea level rise:195,NOT_ENOUGH_INFO,Sea level rise,The gravitational effects comes into play when a large ice sheet melts.,0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,,Sea level rise:26,NOT_ENOUGH_INFO,Sea level rise,"Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",0.693147181,NOT_ENOUGH_INFO,REFUTES,,,,Sea level rise:691,REFUTES,Sea level rise,"""The melting of floating ice raises the ocean level"".",0,REFUTES,REFUTES,,,
38,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,1,Antarctica:1046,REFUTES,Antarctica,"""A 40-y record reveals gradual Antarctic sea ice increases followed by decreases at rates far exceeding the rates seen in the Arctic"".",0,REFUTES,REFUTES,,,,Ice age:0,NOT_ENOUGH_INFO,Ice age,"An ice age is a long period of reduction in the temperature of the Earth's surface and atmosphere, resulting in the presence or expansion of continental and polar ice sheets and alpine glaciers.",0.693147181,REFUTES,SUPPORTS,,,,Ice age:133,NOT_ENOUGH_INFO,Ice age,"According to research published in Nature Geoscience, human emissions of carbon dioxide (CO2) will defer the next ice age.",0.693147181,REFUTES,NOT_ENOUGH_INFO,,,,Ice age:175,NOT_ENOUGH_INFO,Ice age,"The release of water raised sea levels again, restoring the ingress of colder water from the Pacific with an accompanying shift to northern hemisphere ice accumulation.",0.693147181,REFUTES,SUPPORTS,,,,Sea level rise:82,NOT_ENOUGH_INFO,Sea level rise,"Based on changes of Antarctica's ice mass balance over millions of years, due to natural climate fluctuations, researchers concluded that the sea-ice acts as a barrier for warmer waters surrounding the continent.",0.693147181,REFUTES,NOT_ENOUGH_INFO,,,
41,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,0,Scientific consensus on climate change:13,SUPPORTS,Scientific consensus on climate change,"This scientific opinion is expressed in synthesis reports, by scientific bodies of national or international standing, and by surveys of opinion among climate scientists.",0,SUPPORTS,SUPPORTS,,,,Scientific consensus on climate change:135,NOT_ENOUGH_INFO,Scientific consensus on climate change,European Academy of Sciences and Arts in 2007 issued a formal declaration on climate change titled Let's Be Honest: Human activity is most likely responsible for climate warming.,0.693147181,SUPPORTS,NOT_ENOUGH_INFO,,,,Scientific consensus on climate change:269,SUPPORTS,Scientific consensus on climate change,Dennis Bray and Hans von Storch conducted a survey in August 2008 of 2058 climate scientists from 34 different countries.,0,SUPPORTS,SUPPORTS,,,,Sustainability:151,SUPPORTS,Sustainability,The Millennium Ecosystem Assessment is an international synthesis by over 1000 of the world's leading biological scientists that analyzes the state of the Earth's ecosystems and provides summaries and guidelines for decision-makers.,0,SUPPORTS,SUPPORTS,,,,Sustainability:92,NOT_ENOUGH_INFO,Sustainability,"It was signed by 15,364 scientists from 184 countries, what made it the letter with the most signatures of scientists in history In November 2019, more than 11,000 scientists from 153 countries published a letter in which they warn about big threats to sustainability from climate change if big changes in policies will not happen.",0.693147181,SUPPORTS,NOT_ENOUGH_INFO,,,
42,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,1,Global warming:146,REFUTES,Global warming,"Between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well.",0.636514168,REFUTES,REFUTES,NOT_ENOUGH_INFO,,,Global warming:147,NOT_ENOUGH_INFO,Global warming,"Over the 21st century, the IPCC projects that in a very high emissions scenario the sea level could rise by 61–110 cm.",0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,Sea level rise:1,NOT_ENOUGH_INFO,Sea level rise,"Between 1900 and 2016, the sea level rose by 16–21 cm (6.3–8.3 in).",0.636514168,NOT_ENOUGH_INFO,REFUTES,NOT_ENOUGH_INFO,,,Sea level rise:614,NOT_ENOUGH_INFO,Sea level rise,18 January 2019.,0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,Sea level:62,REFUTES,Sea level,"For at least the last 100 years, sea level has been rising at an average rate of about 1.8 mm (0.07 in) per year.",0.636514168,REFUTES,REFUTES,NOT_ENOUGH_INFO,,
44,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",0,Global warming controversy:78,REFUTES,Global warming controversy,"According to the United States National Research Council, [T]here is a strong, credible body of evidence, based on multiple lines of research, documenting that climate is changing and that these changes are in large part caused by human activities.",0,REFUTES,REFUTES,,,,Scientific consensus on climate change:139,REFUTES,Scientific consensus on climate change,"European Science Foundation in a 2007 position paper states: There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change ... On-going and increased efforts to mitigate climate change through reduction in greenhouse gases are therefore crucial.",0,REFUTES,REFUTES,,,,Scientific consensus on climate change:283,REFUTES,Scientific consensus on climate change,Seventy-five of 77 believed that human activity is a significant factor in changing mean global temperatures.,0,REFUTES,REFUTES,,,,Scientific consensus on climate change:543,REFUTES,Scientific consensus on climate change,"7–10 ""There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change.",0,REFUTES,REFUTES,,,,Scientific consensus on climate change:692,REFUTES,Scientific consensus on climate change,"While ‘climate change’ can be due to natural forces or human activity, there is now substantial evidence to indicate that human activity – and specifically increased greenhouse gas (GHGs) emissions – is a key factor in the pace and extent of global temperature increases.",0,REFUTES,REFUTES,,,
51,"CO2 does not cause climate change, it RESPONDS to it [...]",1,Carbon dioxide:221,NOT_ENOUGH_INFO,Carbon dioxide,Increasing atmospheric CO 2 concentrations lead to further acidification ...,0.693147181,SUPPORTS,NOT_ENOUGH_INFO,,,,Climate change adaptation:957,SUPPORTS,Climate change adaptation,"""Adaptation To Global Climate Change Is An Essential Response To A Warming Planet"".",0,SUPPORTS,SUPPORTS,,,,Greenhouse gas:457,NOT_ENOUGH_INFO,Greenhouse gas,"""Correction to ""Control of fossil-fuel particulate black carbon and organic matter, possibly the most effective method of slowing global warming."""".",0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,,Greenhouse gas:912,NOT_ENOUGH_INFO,Greenhouse gas,"""Blaming cities for climate change?",0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,,Scientific consensus on climate change:147,NOT_ENOUGH_INFO,Scientific consensus on climate change,"A new statement, adopted by the society in 2003, revised in 2007, and revised and expanded in 2013, affirms that rising levels of greenhouse gases have caused and will continue to cause the global surface temperature to be warmer: Human activities are changing Earth's climate.",0.693147181,SUPPORTS,REFUTES,,,
57,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",0,Medieval Warm Period:0,SUPPORTS,Medieval Warm Period,"The Medieval Warm Period (MWP) also known as the Medieval Climate Optimum, or Medieval Climatic Anomaly was a time of warm climate in the North Atlantic region lasting from c. 950 to c. 1250.",0.636514168,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO,,,Medieval Warm Period:10,NOT_ENOUGH_INFO,Medieval Warm Period,"1250, during the European Middle Ages.",0,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,,,Medieval Warm Period:13,NOT_ENOUGH_INFO,Medieval Warm Period,"1200 AD, and was followed by a decline of temperature levels till between c. 1500 and c. 1700 the coldest phase since the last ice age occurred.""",1.098612289,REFUTES,SUPPORTS,NOT_ENOUGH_INFO,,,Medieval Warm Period:6,SUPPORTS,Medieval Warm Period,It is thought that between c. 950 and c. 1100 was the Northern Hemisphere's warmest period since the Roman Warm Period.,0.636514168,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO,,,Medieval Warm Period:9,NOT_ENOUGH_INFO,Medieval Warm Period,The Medieval Warm Period (MWP) is generally thought to have occurred from c. 950–c.,0.636514168,NOT_ENOUGH_INFO,SUPPORTS,NOT_ENOUGH_INFO,,
69,Sea level rise is not going to happen.,1,Sea level rise:1,NOT_ENOUGH_INFO,Sea level rise,"Between 1900 and 2016, the sea level rose by 16–21 cm (6.3–8.3 in).",0.693147181,REFUTES,NOT_ENOUGH_INFO,,,,Sea level rise:139,REFUTES,Sea level rise,"Over the 21st century, this is expected to rise, with glaciers contributing 7 to 24 cm (3 to 9 in) to global sea levels.",0,REFUTES,REFUTES,,,,Sea level rise:160,REFUTES,Sea level rise,"If emissions remain very high, the IPCC projects sea level will rise by 52–98 cm (20–39 in).",0,REFUTES,REFUTES,,,,Sea level rise:165,REFUTES,Sea level rise,This could mean rapid sea level rise of up to 19 mm (0.75 in) per year by the end of the century.,0,REFUTES,REFUTES,,,,Sea level rise:26,NOT_ENOUGH_INFO,Sea level rise,"Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",0.693147181,REFUTES,NOT_ENOUGH_INFO,,,
